ResourceARN,Access,AmazonMSKConnectManaged,Application,Buddy,CSIVolumeName,Category,Cluster,CreatedManuallyBy,Environment,ManagedByAmazonSageMakerResource,Name,Owner,Purpose,Queue,Role,STAGE,Team,Ticket,Type,Usage,account,account_name,ads pipeline,alpha.eksctl.io/cluster-name,alpha.eksctl.io/eksctl-version,alpha.eksctl.io/iamserviceaccount-name,alpha.eksctl.io/nodegroup-name,alpha.eksctl.io/nodegroup-type,ami:build_branch,ami:purpose,app,app:name,author,aws-node-termination-handler/managed,aws:autoscaling:groupName,aws:cloud9:environment,aws:cloud9:owner,aws:cloudformation:logical-id,aws:cloudformation:stack-id,aws:cloudformation:stack-name,aws:ec2:fleet-id,aws:ec2launchtemplate:id,aws:ec2launchtemplate:version,aws:eks:cluster-name,aws:elasticfilesystem:default-backup,aws:rds:primaryDBClusterArn,aws:secretsmanager:owningService,aws:servicecatalog:source,aws:ssmmessages:session-id,aws:ssmmessages:target-id,aws_account_id,buddy,buddy:app,buddy:cluster,buddy:component,buddy:metrics:apm:new_relic,buddy:run_metrics,buddy:stack,buddy:tenant,buddy_app,buddy_cluster,buddy_component,cluster,cluster.k8s.amazonaws.com/name,cluster:name,cmv pipeline,component,component:name,cost:center,data:jobs:name,data:jobs:type,data:name,datadog,deployment,description,dynamodbdatapipeline,ebs.csi.aws.com/cluster,eks:cluster-name,eks:nodegroup-name,eks_addon,eksctl.cluster.k8s.io/v1alpha1/cluster-name,eksctl.io/v1alpha2/nodegroup-name,elasticbeanstalk:environment-id,elasticbeanstalk:environment-name,elbv2.k8s.aws/cluster,elbv2.k8s.aws/resource,env,environment,envoy:app_route_timeout,git:repo,ingress.k8s.aws/resource,ingress.k8s.aws/stack,k8s.io/cluster-autoscaler/enabled,k8s.io/cluster-autoscaler/ipsy-staging-main-a,k8s.io/cluster-autoscaler/single-boxes-cluster2,k8s.io/cluster-autoscaler/yaowei,k8s:purpose,key,kube_cluster_name,kube_deployment,kubernetes.io/cluster/behlul-test2,kubernetes.io/cluster/eks-staging,kubernetes.io/cluster/ipsy-staging-DONT-USE-test-upgrade,kubernetes.io/cluster/ipsy-staging-blue-green,kubernetes.io/cluster/ipsy-staging-main,kubernetes.io/cluster/ipsy-staging-main-a,kubernetes.io/cluster/ipsy-staging-singleboxes-a,kubernetes.io/cluster/ipsy-staging-test-al3,kubernetes.io/cluster/placeholder,kubernetes.io/cluster/single-box-test3,kubernetes.io/cluster/single-boxes-cluster,kubernetes.io/cluster/single-boxes-cluster2,kubernetes.io/cluster/staging,kubernetes.io/cluster/test-coredns,kubernetes.io/cluster/test-coredns2,kubernetes.io/cluster/test-ipsy-staging-main,kubernetes.io/cluster/test1,kubernetes.io/cluster/test4,kubernetes.io/cluster/test5,kubernetes.io/created-for/pv/name,kubernetes.io/created-for/pvc/name,kubernetes.io/created-for/pvc/namespace,kubernetes.io/role/elb,kubernetes.io/role/internal-elb,kubernetes.io/service-name,kubernetes_cluster,lambda-console:blueprint,layer,managedby:process,monitoringdotcms,name,node.k8s.amazonaws.com/createdAt,node.k8s.amazonaws.com/instance_id,owner,project:name,propagate_at_launch,puppet:role,purpose,repo,repo:name,service,source,status,table:name,teaam:name,team,team-name,team:name,team_name,tech,tenant_name,terrain,terrain:name,terrain:name	,terrain:name ,terrrain:name,test,test10,value,workload-type
arn:aws:events:us-east-1:450096215204:rule/ddns,,,,,,,,,,,ddns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,,devops,,,,,staging,,,,,,,
arn:aws:events:us-east-1:450096215204:rule/update_Service_reg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,,CHANGEME,,,,,,,,,,,,
arn:aws:firehose:us-east-1:450096215204:deliverystream/fulfillment-inventory-main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,,,,,,,,,
arn:aws:firehose:us-east-1:450096215204:deliverystream/address-service-db-main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,,data,,,,,,,,,,,,
arn:aws:firehose:us-east-1:450096215204:deliverystream/product-reviews-db-main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,,data,,,,,staging,,,,,,,
arn:aws:firehose:us-east-1:450096215204:deliverystream/purchased_add_ons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,,data,,,,,staging,,,,,,,
arn:aws:glue:us-east-1:450096215204:crawler/product-reviews-pwr-crawler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,product-review,,,,,,,,,,,,,,,,,,,
arn:aws:glue:us-east-1:450096215204:crawler/dynamo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arn:aws:glue:us-east-1:450096215204:crawler/product_reviews_crawler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arn:aws:glue:us-east-1:450096215204:crawler/product-reviews-aggregates-crawler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,product-review,,,,,,,,,,,,,,,,,,,
arn:aws:glue:us-east-1:450096215204:crawler/ipsy-audit_stream-daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arn:aws:glue:us-east-1:450096215204:crawler/ipsy-iterable-templates-daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iterable,,,,,,,,,,,,,,,,,,,
arn:aws:glue:us-east-1:450096215204:job/product-reviews-ddb-migrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,product-review,,,,,,,,,,,,,,,,,,,
arn:aws:glue:us-east-1:450096215204:job/prs-stream-migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arn:aws:glue:us-east-1:450096215204:job/raw_to_clean_orders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clean,,,,,,,,,,,,,orders,,,,,data,,,,,,,,,,,,,,
arn:aws:glue:us-east-1:450096215204:job/prs-migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arn:aws:glue:us-east-1:450096215204:session/glue-studio-datapreview-25f98f2b-d744-4597-8d9f-579cfc261a25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed-role/PowerUserAccess/ninoy@bfaindustries.com,,,,,,,,,,,,,,,,,,,,,,,,,,
arn:aws:glue:us-east-1:450096215204:session/glue-studio-datapreview-7b9ad990-348c-4a06-882a-b84582bb0491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed-role/AdminAccess/francoserividio@ipsy.com,,,,,,,,,,,,,,,,,,,,,,,,,,
arn:aws:iam::450096215204:policy/PermissionsBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,devops,,,,,staging,,,,,,,
arn:aws:iam::450096215204:policy/VantaAdditionalPermissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,devops,,,,,staging,,,,,,,
arn:aws:kafka:us-east-1:450096215204:cluster/OrdersDebugCluster/a350c361-503f-498d-bf1c-699e649459f1-16,,,,,,,,,,,,,,,,,,,,,450096215204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kafka,,,,,,,,,,,,,,,,,,,,,staging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orders,,,,,,,,,aws-msk,,,,,,,,,,
arn:aws:kafka:us-east-1:450096215204:cluster/events/5898e1b4-5e38-486b-afe0-2c911b119451-21,,,,,,,,,,,,,,,,,,,,,450096215204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kafka,,,,,,,,,,,,,,,,,,,,,staging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,repo https://github.com/myglam/events-service,,data,,,,,,,data,,aws-msk,,,,,,,,,,
arn:aws:kafkaconnect:us-east-1:450096215204:connector/orders-staging-source-connector-v1/677dbe56-84f2-4875-89be-5998082b9946-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,,data,,,,,,,,,,,,
arn:aws:kafkaconnect:us-east-1:450096215204:worker-configuration/debezium-worker-v1/4363e9fc-7779-456b-83e3-8670193baead-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,,,,,,,,,,,,,,
arn:aws:kinesis:us-east-1:450096215204:stream/amplitude-events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amplitude_ingestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,,data,,,,,staging,,,,,,,
arn:aws:kinesis:us-east-1:450096215204:stream/user-traits-stream-main,,,,user-traits-stream-main,,,,,,,user-traits-stream-main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user-traits,main,stream,,,,bfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user-traits,,,,,,,martech,,,,,staging,,,,,,,
arn:aws:kinesis:us-east-1:450096215204:stream/product-reviews-db-main-ks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,product-review,,,,,,,,,,,,,,,,,,,
arn:aws:kinesis:us-east-1:450096215204:stream/user-trait-backfill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user-traits,,,,,,,,,,,,,,,,,,,
arn:aws:kinesis:us-east-1:450096215204:stream/crm-etl-user-properties-main,,,,crm-etl-user-properties-main,,,,,,,crm-etl-user-properties-main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crm,main,etl-user-properties,,,,bfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crm,,,,,,,apps-services,,,,,staging,,,,,,,
arn:aws:kms:us-east-1:450096215204:key/86079ba2-09ad-47f0-b801-a7612dedc6b8,,,,,,,,,,,AirflowDBEncryptionKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHANGEME,,,,,,,,,,,,
arn:aws:kms:us-east-1:450096215204:key/mrk-42f8939eeae34eecb167e8c4f3f5f5ab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,,data,,,,,staging,,,,,,,
arn:aws:kms:us-east-1:450096215204:key/5d2ddba6-62c8-4248-9eb7-dd51b95dd7b5,,,,,,,,,,,events-api-key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHANGEME,,,,,,,,,,,,
arn:aws:kms:us-east-1:450096215204:key/a66e7e4d-fbbc-4dc3-8a5f-777cc5f61d86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arn:aws:kms:us-east-1:450096215204:key/d5fe3233-76f1-45ed-8fb0-f9cb826bd9ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,,data,,,,,,,,,,,,
arn:aws:kms:us-east-1:450096215204:key/6fe58e62-8fc3-4c1c-bef8-d87bd2d9154d,,,,,,,,,,,experiments,,,,,,,,database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHANGEME,,,,,,,,,,,,
arn:aws:kms:us-east-1:450096215204:key/b7ff2426-7c7e-4ad9-9ac8-b9f7e338c164,,,,,,,,,,,quiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHANGEME,,,,,,,,,,,,
arn:aws:kms:us-east-1:450096215204:key/125358a2-6db9-46d2-bc4a-debaf1524e60,,,,,,,,,,,Encryption / Decryption Key for Ipsy DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHANGEME,,,,,,,,,,,,
arn:aws:kms:us-east-1:450096215204:key/96b102c5-b126-4a32-b8e8-c71daa9279a9,,,,,,,,,,,Iterable,,,,,,CRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHANGEME,,,,,,,,,,,,
arn:aws:kms:us-east-1:450096215204:key/2f257294-f80c-440e-99cc-eaa8d69cab4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arn:aws:lambda:us-east-1:450096215204:function:ipsyMeUserIdMappings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arn:aws:lambda:us-east-1:450096215204:function:Pinterest-download,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arn:aws:lambda:us-east-1:450096215204:function:cc_events_lambda_general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arn:aws:lambda:us-east-1:450096215204:function:test-create-user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arn:aws:lambda:us-east-1:450096215204:function:ads-pinterest-access-token,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ces,,,,,,,,,,,,,,,,,,,
arn:aws:lambda:us-east-1:450096215204:function:choice-data-importer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,,,,,,,,,,,,,,
arn:aws:lambda:us-east-1:450096215204:function:lighthouse-score-main,,,,lighthouse-score-main,,,,,,,lighthouse-score-main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lighthouse,main,score,,,,bfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lighthouse,,,,,,,apps-client-components,,,,,staging,,,,,,,
arn:aws:lambda:us-east-1:450096215204:function:crm-stream-processor-lambda-priority-main,,,,crm-stream-processor-lambda-priority-main,,,,,,,crm-stream-processor-lambda-priority-main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crm-stream-processor-lambda,main,priority,,,,bfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crm-stream-processor-lambda,,,,,,,apps-services,,,,,staging,,,,,,,
arn:aws:lambda:us-east-1:450096215204:function:ads-sync-s3-redshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arn:aws:lambda:us-east-1:450096215204:function:test_lf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arn:aws:lambda:us-east-1:450096215204:function:search-lambda-index-api-main,,,,search-lambda-index-api-main,,,,,,,search-lambda-index-api-main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,search-lambda,main,index-api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,search,,,,,,,CHANGEME,,,,,staging,,,,,,,
arn:aws:lambda:us-east-1:450096215204:function:ipsy-bot-detection_datadome,,,,,,,,,,,,,,,,dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,,CHANGEME,,,,,,,,,,,,
arn:aws:lambda:us-east-1:450096215204:function:dynamodb-dms-subscription-events-api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event-tracking,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,,CHANGEME,,,,,,,,,,,,
arn:aws:lambda:us-east-1:450096215204:function:castleio-webhooks-worker-main,,,,castleio-webhooks-worker-main,,,,,,,castleio-webhooks-worker-main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,castleio-webhooks,main,worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,castleio-webhooks,,,,,,,CHANGEME,,,,,,,,,,,,
arn:aws:lambda:us-east-1:450096215204:function:segment-user-properties-dynamodb-iterable-processor-lambda-main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iterable,,,,,,,data,,,,,staging,,,,,,,
arn:aws:lambda:us-east-1:450096215204:function:data-toolio-export-cleanup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arn:aws:lambda:us-east-1:450096215204:function:crm_iterable-analytics_transformation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iterable,,,,,,,,,,,,,,,,,,,
arn:aws:lambda:us-east-1:450096215204:function:shipping-lambda-kitting-orders-cleaner-cron-main,,,,shipping-lambda-kitting-orders-cleaner-cron-main,,,,,,,shipping-lambda-kitting-orders-cleaner-cron-main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shipping-lambda,main,kitting-orders-cleaner-cron,,,,bfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shipping,,,,,,,supply-chain-fulfillments,,,,,staging,,,,,,,
arn:aws:lambda:us-east-1:450096215204:function:s3-quiz-events-api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,event-tracking,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,,CHANGEME,,,,,,,,,,,,
